;Agnadello, Marconi, 6;Annicco, Giuseppe Garibaldi, 6;Bagnolo Cremasco, Roma, 3;Bonemerse, Roma, 25;Camisano, Trieste, 57;Capergnanica, XI febbraio, 7;Capralba, Piave, 2;Casalbuttano ed Uniti, Jacini, 23;Casale Cremasco-Vidolasco, Roma, 56;Casalmaggiore, Guglielmo Marconi, 8;Casalpusterlengo, Pusterla 7;Castelleone, Roma, 67;Castelverde, Ubaldo Ferrari, 15;Cingia de' Botti, Giuseppina, 79;Crema, Civerchi, 9;Crema, Dante Alighieri, 49;Cremona, Sesto, 41;Cremona, Ugolani Dati, 4;Cremona, Ugolani Dati, 4;Dovera, Oldrini 2;Fiesco, Giuseppe Parini, 10;Gadesco-Pieve Delmona, Giovanni Lonati 9;Grontardo, Roma, 16;Grumello Cremonese ed Uniti, Roma, 2;Gussola, Comaschi, 1;Isola Dovarese, Giacomo Matteotti, 1;Izano, Gerardo da Izano, 4/C;Madignano, Portici, 4;Martignana di Po, Libertà, 64;Monte Cremasco, Roma, 12;Montodine,  XXV Aprile, 10;Offanengo, Clavelli Martini, 5;Ostiano, Mazzini, 1;Paderno Ponchielli, Municipio, 3;Palazzo Pignano, Marco Polo, 31;Pandino, Castello, 15;Persico Dosimo, Albert ,7;Pescarolo ed Uniti, Giuseppe Mazzini, 73;Piadena, Platina, 40;Pianengo, Roma, 59;Pizzighettone, Giuseppe Garibaldi, 18;Manerbio, INSURREZIONE NAZIONALE;Viadana, A. Manzoni, 2;Ricengo, Guglielmo Marconi;Ripalta Cremasca, Roma, 5;Rivarolo del Re ed Uniti, Giovanni XXIII, 5;Rivolta d'Adda, Stefano Renzi, 5;Romanengo, Guaiarini, 14;San Bassano, Mons. Frosi (ex piazza Scuole);San Giovanni in Croce, Feudatari, 25 A;Scandolara Ravara, Italia;Sergnano, IV Novembre,  10;Sesto ed Uniti, Roma, 4;Solarolo Rainerio, Giuseppina, 81;Soncino, Dante Alighieri, 23;Soresina, Giacomo Matteotti, 6;Sospiro, Europa, 2;Spino d'Adda, Circonvallazione, 13;Trescore Cremasco, Vittorio Veneto, 1;Trigolo, Roma, 26;Vaiano Cremasco,  Gloriosi Caduti, 3;Vailate, Dante Alighieri, 7;Vescovato, Roma, 44;Cremona, Felice Cavallotti, 2;Cremona, Palosca n. 2;Cremona, Palosca n. 2;Ostiano;San Giovanni
Agnadello, Marconi, 6;0.061;47.844;15.755;67.123;20.433;18.977;8.718;49.814;20.998;100.8;36.207;31.652;57.646;83.343;21.008;20.614;50.2;59.426;59.426;10.245;31.998;66.982;71.462;46.585;94.61;83.344;27.537;24.886;96.983;11.178;11.178;22.603;107.11;47.871;11.354;5.219;64.101;75.982;89.121;568.225;44.108;55.263;113.564;19.577;23.168;102.188;6.887;31.213;38.891;89.927;89.045;18.203;50.75;88.822;30.751;39.458;191.427;10.483;10.596;35.285;12.619;5.003;72.047;59.817;64.234;64.234;107.757;107.757
Annicco, Giuseppe Garibaldi, 6;46.623;0.0;33.759;25.454;36.706;29.716;41.926;7.866;35.287;59.131;26.511;15.663;14.415;41.674;26.109;26.538;8.531;17.757;17.757;41.438;16.731;25.313;29.793;5.796;52.941;41.675;20.244;22.08;55.314;37.759;19.662;24.361;40.853;0.011;0.011;41.946;22.432;34.313;47.452;530.829;15.218;31.571;71.895;31.019;24.869;60.519;49.685;20.751;20.751;48.258;47.376;36.448;9.081;47.153;19.865;6.336;204.062;44.882;35.246;12.981;36.472;46.184;30.378;18.148;22.565;22.565;40.561;40.561
Bagnolo Cremasco, Roma, 3;15.212;34.788;0.0;54.067;23.084;5.5;16.992;36.407;21.665;87.744;29.767;18.596;44.59;70.287;8.132;9.975;37.144;46.37;46.37;10.027;19.07;53.926;58.406;33.529;81.554;70.288;14.609;11.958;83.927;3.526;3.526;14.918;69.466;34.815;5.261;8.413;51.045;62.926;76.065;551.121;29.508;51.001;100.508;17.397;10.24;10.24;18.274;18.285;18.285;76.871;75.989;16.884;37.694;75.766;25.927;26.53;196.8;13.471;8.752;22.357;2.833;14.731;58.991;46.761;51.178;51.178;69.174;69.174
Bonemerse, Roma, 25;67.066;26.37;54.175;0.0;57.149;50.159;57.181;21.456;55.73;36.041;53.135;36.106;14.591;18.584;46.552;46.981;16.729;6.33;6.33;61.881;40.311;9.518;14.684;26.513;27.395;23.693;44.198;42.523;32.224;58.202;40.105;48.315;22.714;26.397;57.123;60.275;9.817;16.331;29.47;522.045;33.748;36.431;48.805;51.462;45.312;37.429;70.128;45.019;30.833;25.168;24.546;56.891;18.599;24.063;42.701;31.929;200.247;65.325;55.689;37.235;56.915;61.439;12.396;6.563;3.637;3.637;22.579;25.758
Camisano, Trieste, 57;20.626;33.449;23.002;57.64;0.0;20.002;16.348;34.731;5.032;91.317;40.289;22.169;43.643;73.86;14.195;14.351;40.717;49.943;49.943;24.303;18.87;57.499;55.92;37.102;85.127;73.861;14.658;15.403;87.5;22.091;23.378;10.274;62.951;33.476;18.167;20.696;54.618;62.58;79.638;560.387;35.953;40.18;104.081;7.674;17.834;92.705;21.949;16.062;29.408;80.444;79.562;5.86;41.267;79.339;17.331;29.687;204.999;27.766;15.448;22.157;20.804;15.047;62.564;50.334;54.751;54.751;67.091;81.034
Capergnanica, XI febbraio, 7;19.574;30.975;6.145;50.254;19.812;0.0;15.242;33.048;18.393;83.931;26.618;14.783;40.777;66.474;6.235;5.402;33.331;42.557;42.557;14.389;15.798;50.113;54.593;29.716;77.741;66.475;11.337;8.686;80.114;10.71;10.299;11.646;65.496;31.002;9.631;12.783;47.232;59.113;72.252;547.308;25.695;47.729;96.695;14.125;5.108;85.319;22.636;15.013;22.022;73.058;72.176;15.135;33.881;71.953;22.655;23.171;206.961;17.833;13.122;19.085;9.423;19.09;55.178;42.948;47.365;47.365;65.361;73.648
Capralba, Piave, 2;8.753;40.176;16.322;62.704;16.395;15.022;0.036;41.83;11.259;96.381;37.832;27.233;50.37;78.924;11.09;11.995;45.781;55.007;55.007;17.766;23.934;62.563;62.647;42.166;90.191;78.925;19.722;20.467;92.564;15.554;20.921;14.247;69.678;40.203;11.63;14.159;59.682;69.307;84.702;557.93;41.017;46.907;109.145;11.221;15.377;97.769;13.481;21.126;34.472;85.508;84.886;9.847;46.331;84.403;22.395;34.751;198.377;21.229;8.911;27.221;14.267;5.059;67.628;55.398;59.815;59.815;72.155;86.098
Casalbuttano ed Uniti, Jacini, 23;50.527;9.244;40.639;21.56;35.397;37.639;42.163;0.123;35.524;55.237;35.644;18.506;8.915;37.78;31.832;31.988;13.425;14.608;14.608;48.318;20.674;21.419;22.536;14.929;49.047;37.781;24.187;25.338;51.42;44.639;23.301;27.096;29.567;9.271;43.982;46.511;15.317;29.196;43.558;533.631;24.351;23.327;68.001;33.489;28.508;56.625;56.375;22.467;18.681;44.364;43.742;36.685;14.223;43.259;21.581;10.754;211.833;51.762;41.263;16.924;43.352;46.421;26.484;14.999;18.671;18.671;32.044;44.954
Casale Cremasco-Vidolasco, Roma, 56;19.57;33.558;21.448;56.086;5.043;18.448;11.206;35.212;0.0;89.763;38.735;20.615;43.752;72.306;12.641;12.797;39.163;48.389;48.389;19.161;17.316;55.945;56.029;35.548;83.573;72.307;13.104;13.849;85.946;16.949;21.824;7.241;63.06;33.585;13.025;15.554;53.064;62.689;78.084;558.833;34.399;40.289;102.527;4.215;16.28;91.151;22.502;14.508;27.854;78.89;78.268;1.81;39.713;77.785;15.777;28.133;208.621;22.624;10.306;20.603;15.662;15.6;61.01;48.78;53.197;53.197;65.537;79.48
Casalmaggiore, Guglielmo Marconi, 8;100.776;60.08;87.885;36.074;90.859;83.869;90.891;55.166;89.44;0.0;91.65;69.816;48.301;18.284;80.262;80.691;50.439;40.711;40.711;125.284;74.021;40.723;40.769;60.223;7.664;26.925;77.908;76.233;5.119;91.912;73.815;82.693;36.669;60.107;90.833;96.099;43.876;36.428;18.751;473.051;65.956;71.153;13.692;85.172;79.022;10.038;103.838;78.729;64.543;11.928;14.637;90.601;52.309;12.444;76.411;65.639;239.991;99.035;89.399;70.945;90.625;95.149;37.064;42.845;37.347;37.347;36.534;12.025
